Cornbread Cakes | 8 | 6 | 4 | 25 m | 1 cup self-rising cornmeal; ; ;  | ;  | Home; Recipes; Breakfast and Brunch; Pancakes
Cheddar Ramen Noodle Wedge with Fried Eggs | 9 | 3 | 3.25 | 35 m | 8 slices bacon; 2 (3 ounce) packages ramen noodles (flavor packets discarded); 1 1/2 tablespoons vegetable oil, divided; 1 cup shredded Cheddar cheese; 1 tablespoon butter; 4 eggs | Preheat oven to 350 degrees F.; Cook bacon (in batches, if necessary) in a 12-inch ovenproof nonstick skillet over medium heat, turning, until crisp, about 8 minutes. Transfer bacon to paper towels to drain. Remove skillet from heat and pour off all but 1 tablespoon bacon fat.; Bring a saucepan of salted water to a boil. Break each ramen noodle block into 4 pieces and cook, stirring occasionally, until just tender, about 3 minutes. Drain noodles in a colander and rinse under cold water.; Heat bacon fat in skillet over medium-high heat until shimmering. Add noodles, spreading them evenly to cover bottom of skillet. Cook noodles, pressing on them occasionally with a slotted spatula, until underside is golden brown, 3 to 6 minutes. Slide ramen cake onto a large plate, invert a second plate over top, then flip cake over (so cooked side is now on top). Add 1 tablespoon oil to skillet. Slide ramen cake back into skillet and cook over medium-high heat, pressing it occasionally, until underside is golden brown, 3 to 5 minutes. Remove skillet from heat.; Sprinkle cheese evenly over ramen cake and transfer skillet to oven. Bake until cheese is melted, 5 to 10 minutes. Slide ramen cake onto a cutting board and cut into 4 wedges.; Wipe out skillet. Heat butter and remaining 1/2 tablespoon oil in skillet over medium heat. Crack eggs into skillet and cook to desired doneness, 2 to 3 minutes for runny yolks. Serve each ramen wedge with a fried egg and 2 slices bacon. | Home; Recipes; Breakfast and Brunch; Eggs
Cheesy Spinach Ramen Frittata | 7 | 3 | 3.5 | 55 m | 2 tablespoons olive oil; 1 bunch green onions, chopped; 2 (5 ounce) packages fresh baby spinach; 3 tablespoons water, divided; 2 (3 ounce) packages ramen noodles (flavor packets discarded); 7 large eggs; 3/4 cup garlic-and-herb spreadable cheese (such as Alouette®); 1/4 teaspoon salt; 1/4 cup grated Parmesan cheese | Preheat oven to 375 degrees F (190 degrees C).; Heat oil in a 10-inch ovenproof skillet (with lid) over medium heat. Cook green onions, stirring occasionally, until softened, about 2 minutes. Add 1 package spinach and 2 tablespoons water and cook, covered, until wilted, about 1 minute. Stir spinach with tongs, then add remaining package spinach and remaining tablespoon water. Cook, covered, stirring once or twice, until tender, about 2 minutes. Remove skillet from heat.; Meanwhile, bring a saucepan of salted water to a boil. Break each ramen noodle block into 4 pieces and cook, stirring occasionally, until just tender, about 3 minutes. Drain noodles in a colander and rinse under cold water. Toss noodles with spinach mixture in skillet and spread mixture evenly over bottom of pan.; Blend eggs, spreadable cheese, and salt in a blender until smooth. Pour egg mixture evenly over spinach mixture. Stir spinach mixture gently with a fork to allow egg mixture to flow underneath. Sprinkle top with Parmesan cheese.; Transfer skillet to oven and bake until puffed slightly and a toothpick inserted in center comes out clean, about 35 minutes. Cut into 4 wedges and serve from skillet. | Home; Recipes; Breakfast and Brunch; Eggs; Frittata
Mighty Melon Green Tea Smoothie | 5 | 4 | 3.5 | 10 m | 1 cup brewed green tea (such as Gold Peak®), chilled; 1 cup frozen pineapple chunks; 1 cup cantaloupe chunks; 1 pear, cored and cut into chunks; 1/2 cup plain Greek yogurt; 4 fresh mint leaves, or more to taste | Combine tea, pineapple, cantaloupe, pear, yogurt, and mint leaves in a blender. Blend until smooth. | Home; Recipes; Breakfast and Brunch; Drinks
Gluten-Free Butter Crepes with Orange Blossom Honey Butter | 11 | 3 | 4.5 | 40 m | 2 eggs, room temperature; 1 cup milk, room temperature; 3/4 cup all-purpose gluten-free flour; 1 pinch salt; 1/4 cup LAND O LAKES® Unsalted Butter, melted; 1/2 teaspoon LAND O LAKES® Unsalted Butter, or as needed for the pan; 6 tablespoons LAND O LAKES® Butter, at room temperature; 6 tablespoons orange blossom honey; 1 tablespoon grated orange zest | Whisk eggs, salt and milk together in a mixing bowl. While whisking, add the flour 1/4 cup at a time, making sure it is well combined before adding the next. Stir in 1/4 cup melted butter.; In a separate bowl, mix 6 tablespoons softened butter, honey and orange zest together. Whip until creamy and smooth.; Heat a 10-inch crepe pan over medium heat. When hot, add 1/2 teaspoon butter to the pan and spread around with a brush to cover the whole pan. If your pan is non-stick, you will only need to do this once. If your pan is not non-stick you may need to repeat this more often.; Whisk the batter well, add 1/3 cup of batter to the heated pan; swirl it around to cover the entire surface of the pan. Cook until the edges brown and the crepe moves freely, about 2 minutes.; Flip the crepe over and cook until evenly cooked. Remove from the pan and continue with the rest of the batter.; Place a crepe on a warm plate. Spread 1 1/2 tablespoons filling evenly over one half of the crepe. Fold the crepe twice making a triangle. Do the same with the rest of the crepes. Top with remaining honey butter and serve. | Home; Recipes; Trusted Brands: Recipes and Tips; Saute Express® Saute Starter
Country Breakfast Casserole from McCormick® | 9 | 3 | 4.75 | 55 m | 1 (12 ounce) roll ground breakfast sausage; 2 cups shredded Cheddar cheese; 6 eggs, beaten; 1 cup water; 1/2 cup milk; 1 package McCormick® Original Country Gravy Mix; 6 slices bread, cut into 1-inch cubes; McCormick® Paprika | Preheat oven to 325 degrees F. Cook crumbled sausage in large skillet on medium heat until brown, stirring occasionally. Drain sausage. Spread in lightly greased 11x7-inch baking dish. Sprinkle cheese over sausage.; Beat eggs, water, milk and Gravy Mix in medium bowl with wire whisk until well blended. Pour over cheese. Arrange bread cubes evenly over mixture. Drizzle butter over bread, if desired. Sprinkle with paprika.; Bake, uncovered, 40 minutes or until knife inserted in center comes out clean. Let stand 10 minutes before serving. | Home; Recipes; Trusted Brands: Recipes and Tips; McCormick®
Chocolate Coffee Oatmeal | 5 | 4 | 3.25 | 9 m | 1/4 cup rolled oats; 1 tablespoon chia seeds; 3/4 cup freshly brewed coffee; 2 tablespoons milk; 2 tablespoons unsweetened cocoa powder; 1 tablespoon maple syrup, or more to taste | Combine oats and chia seeds in a microwave-safe bowl. Stir in coffee. Let stand for 2 minutes.; Cook oats in the microwave until tender, about 2 minutes. Stir in milk, cocoa powder, and maple syrup. | Home; Recipes; Breakfast and Brunch; Cereals; Oatmeal
Savory Croissant Quiche | 16 | 3 | 5 | 58 m | cooking spray; 3 slices bacon, chopped; 1/2 onion, diced small; 1 cup fresh spinach; 1 1/2 cups milk; 3 eggs; 3 croissants, cubed; 1/2 cup shredded Monterey Jack cheese | Preheat oven to 350 degrees F (175 degrees C). Grease a 9-inch round cake pan with cooking spray.; Cook and stir bacon in a large skillet over medium heat until some of the fat is released, about 2 minutes. Add onion; cook and stir until onion turns golden and bacon is crispy, 3 to 5 minutes. Stir in spinach and cook until wilted, about 2 minutes.; Whisk milk and eggs together in a bowl. Soak croissant cubes in the milk mixture, 1 to 2 minutes. Stir in bacon mixture and drippings from the skillet. Fold in Monterey Jack cheese. Pour mixture into the prepared pan.; Bake in the preheated oven until golden brown, about 30 minutes. Let stand for 10 minutes before slicing. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Bacon
Mexican Scrambled Eggs | 7 | 3 | 4.5 | 25 m | 2 eggs; 1/2 cup diced onion; 1/4 cup milk; 2 tablespoons diced green bell pepper; 2 tablespoons diced red bell pepper; 1 jalapeno pepper, seeded and diced; 2 teaspoons Mexican-style chile powder; 1 teaspoon onion powder; 1/2 teaspoon ground cumin; 1 dash ground cinnamon; salt and ground black pepper to taste; cooking spray | Whisk eggs together in a bowl. Mix in onion, milk, green bell pepper, red bell pepper, jalapeno pepper, chile powder, onion powder, cumin, cinnamon, salt, and pepper.; Heat a large skillet over medium-high heat; grease with cooking spray. Pour in egg mixture; cook and stir until golden brown, about 5 minutes per side. | Home; Recipes; Breakfast and Brunch; Eggs; Scrambled Eggs
Steel-Cut Oats with Pumpkin and Spice (Overnight Method) | 3 | 4 | 4.5 | 8 h 19 m | 3 1/2 cups water; 1/2 teaspoon salt; 1 cup steel-cut oats; 1/2 cup pumpkin puree; 2 teaspoons pumpkin pie spice | Combine water and salt in a saucepan; bring to a boil. Mix oats, pumpkin puree, and pumpkin pie spice into boiling water; return liquid to a boil. Boil oatmeal for 1 minute; remove from heat and cover saucepan with a lid.; Place oatmeal in the refrigerator and chill, 8 hours to overnight.; Stir oatmeal; heat in the saucepan over low heat, stirring constantly, until heated through, about 5 minutes. | Home; Recipes; Breakfast and Brunch; Cereals; Oatmeal
Cauliflower and Sweet Potato Hash | 59 | 3 | 4.75 | 24 m | 2 tablespoons olive oil; 1 small onion, chopped; 1 (12 ounce) package Green Giant® Riced Cauliflower & Sweet Potato; 1 red bell pepper, chopped; 2 cloves garlic, minced; 1/2 teaspoon salt; 2 cups fresh baby kale or spinach (optional); 1 teaspoon sriracha hot chile sauce, or to taste (optional); 4 eggs, fried or poached | Heat olive oil in large nonstick skillet over medium-high heat and cook onion 3 minutes or until softened.; Stir in Green Giant® Riced Cauliflower and Sweet Potatoes, red pepper, garlic and salt and cook 5 minutes, stirring occasionally, or until vegetables are tender.; Stir in kale and cook 2 minutes or until wilted. Stir in sriracha.; Serve eggs over hash. | Home; Recipes; Trusted Brands: Recipes and Tips
Honey-Sweetened Granola | 6 | 4 | 4.75 | 45 m | cooking spray; 4 cups old-fashioned oats (such as Quaker Oats®); 1/4 cup all-purpose flour; 1/4 cup shredded coconut; 1/4 cup chopped pecans; 1/2 teaspoon ground cinnamon; 1/2 cup honey; 1/4 cup coconut oil; 1/2 teaspoon vanilla extract | Preheat oven to 325 degrees F (165 degrees C). Grease a rimmed baking sheet with cooking spray.; Mix oats, flour, shredded coconut, pecans, and cinnamon together in a large bowl. Stir in honey, coconut oil, and vanilla extract until evenly incorporated.; Spread oat mixture on the prepared baking sheet.; Bake in the preheated oven until lightly golden, about 10 minutes. Stir gently. Continue baking, stirring every 5 minutes, until golden brown, 10 to 15 minutes. Let cool until crispy, about 15 minutes. Store in airtight container. | Home; Recipes; Breakfast and Brunch; Cereals; Granola
Gingerbread Overnight Oats | 12 | 3 | 4.25 | 8 h | 1/2 cup Quaker® Oats (Quick or Old Fashioned, uncooked); 1/2 cup milk; 2 tablespoons chopped pecans; 1 teaspoon brown sugar; 1 teaspoon gingerbread spice (see recipe below); 1 tablespoon raisins (optional); 2 tablespoons ground cinnamon; 2 tablespoons ground ginger; 2 tablespoons ground allspice; 1 tablespoon ground nutmeg; 1 tablespoon ground cloves (optional) | Add Quaker(R) Oats to your container of choice, pour in milk, add in raisins and pecans.; Sweeten by topping with brown sugar and gingerbread spice before refrigerating overnight.; Rise, shine, and enjoy! | Home; Recipes; Trusted Brands: Recipes and Tips; Quaker® Oats
Vincent's Country Bacon and Eggs | 7 | 4 | 5 | 49 m | 8 slices bacon; 1 tablespoon olive oil, or to taste; 1 clove garlic, minced; 1 (8 ounce) package frozen spinach, thawed and squeezed dry; sea salt and ground black pepper to taste; 2 (8 ounce) loaves Italian country bread; 8 eggs; 1/2 cup half-and-half; 1 pinch ground black pepper to taste; 1/2 cup Parmesan cheese | Preheat oven to 400 degrees F (200 degrees C). (If using a countertop induction oven, preheat to 390 degrees F (199 degrees C) or use the "Combo 2" setting.) Line a baking sheet with aluminum foil; arrange bacon slices on top.; Bake in the preheated oven until bacon is partially cooked through but not crispy, about 10 minutes in the conventional oven and 6 to 7 minutes in the countertop induction oven.; Reduce oven temperature to 375 degrees F (190 degrees C); reduce countertop induction oven temperature to 325 degrees F (163 degrees C).; Heat olive oil in a large skillet over medium heat. Add garlic; cook and stir until fragrant, about 1 minute. Add spinach; season with salt and pepper. Cook and stir until spinach turns dark green, 3 to 5 minutes. Remove from heat.; Cut four 2-inch holes 3/4 of the way through each loaf, evenly spaced apart, using a small serrated knife. Remove bread cutouts with your fingers; discard or set aside for another use.; Press 1 tablespoon of the spinach mixture into the bottom of each hole. Line each hole with 1 slice of bacon. Crack 1 egg into each hole; top with 1 tablespoon half-and-half. Season with salt and pepper. Sprinkle 1 tablespoon Parmesan cheese over half-and-half. Transfer loaves to a baking sheet.; Bake in the preheated oven until eggs are set, about 15 minutes. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Bacon
Tuscan-Herbed Roasted Potatoes | 10 | 4 | 5 | 48 m | 1 pound petite potatoes, quartered; 8 white mushrooms, sliced; 1/4 yellow onion, diced; 1/2 red bell pepper, diced; 2 cloves garlic, minced; 2 tablespoons extra-virgin olive oil; sea salt and ground black pepper to taste; 3 slices prosciutto; 4 fresh basil leaves, chopped; 2 teaspoons chopped fresh parsley; 2 tablespoons grated Parmesan cheese | Preheat oven to 450 degrees F (230 degrees C). Line a baking sheet with non-stick aluminum foil.; Combine potatoes, mushrooms, onion, red bell pepper, garlic, olive oil, salt, and pepper in a large bowl until evenly coated. Spread potato mixture onto the prepared baking sheet.; Roast in the preheated oven for 15 minutes. Remove baking sheet from oven, stir potato mixture, and continue roasting until potatoes are crisp, about 20 minutes more.; Place prosciutto in a skillet over medium-high heat; cook and stir until slightly crisp, 3 to 4 minutes. Transfer prosciutto to a cutting board and chop.; Top potato mixture with prosciutto, basil, parsley, and Parmesan cheese. | Home; Recipes; Side Dish; Potatoes
Mango Chia Smoothie | 6 | 3 | 4 | 5 m | 1 1/2 cups almond milk; 1 1/2 cups fresh spinach (optional); 1 mango, peeled and cubed; 1 banana; 1/2 cup ice cubes; 2 tablespoons chia seeds; 1 teaspoon honey; 1/2 teaspoon ground turmeric | Blend almond milk, spinach, mango, banana, ice cubes, chia seeds, honey, and turmeric in a blender until smooth, about 30 seconds. | Home; Recipes; Breakfast and Brunch; Drinks
Southwest Strata | 5 | 3 | 2.75 | 1 h 10 m | 4 eggs; 1 cup milk; 1 (15 ounce) can ranch-style beans, drained; 1 (14.75 ounce) can cream-style corn; 1 cup shredded Cheddar cheese; 1 teaspoon ground cumin; 1 teaspoon paprika; 1/2 teaspoon dried oregano; salt and pepper to taste; 1 dash hot pepper sauce, or to taste; 1 (1 pound) loaf day-old bread, torn into small pieces | Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13 inch baking dish.; Whisk together the eggs and milk in a large bowl. Stir in the ranch-style beans, corn and Cheddar cheese. Season with cumin, paprika, oregano, salt, pepper and hot sauce, and mix well. Add the bread cubes to the mixture and stir to distribute the cheese and beans.; Allow to set for about 20 minutes, until the bread has absorbed the liquid. Stir occasionally, and add more milk if necessary to make the bread moist, but not soggy. Pour into the prepared baking dish, and spread evenly.; Bake uncovered for 45 minutes in the preheated oven, until lightly browned and a knife inserted into the center comes out clean. Let stand a few minutes before slicing and serving. | Home; Recipes; Breakfast and Brunch; Eggs; Breakfast Strata
Jelly-Cheese Porridge | 3 | 3 | 3.5 | 45 m | 2 1/2 cups water; 1 cup cornmeal; 1 cup water; 1/4 cup maple syrup, or more to taste; 1/2 teaspoon ground cinnamon; 1/4 cup cottage cheese; 2 tablespoons grape jelly | In a saucepan, bring 2 1/2 cups of water to a boil. In a small bowl, stir together the remaining water and cornmeal. When the water boils, gradually add the cornmeal mixture so that the water stays at a boil. Cook, stirring frequently to prevent lumps, for 30 to 40 minutes. Mix in the maple syrup and cinnamon, adjusting to taste if desired. Spoon into bowls to serve and top with cottage cheese and grape jelly. | Home; Recipes; Breakfast and Brunch; Cereals
Champagne Cocktail | 3 | 3 | 3.75 | 5 m | 1 quart vanilla ice cream; 1 quart prepared lemonade; 1 (750 milliliter) bottle champagne | Place the softened ice cream into a punch bowl. Pour in lemonade and champagne. Stir briefly then serve. | Home; Recipes; Breakfast and Brunch; Drinks
Dad's Breakfast Bread | 7 | 4 | 4.5 | 1 h 25 m | 2 cups milk, scalded and cooled; 1 cup white sugar; 2 tablespoons margarine, melted; 1 teaspoon salt; 2 (.25 ounce) packages active dry yeast; 1/2 cup warm water; 2 eggs, beaten; 7 cups all-purpose flour; 3 cups oil for frying | In a large bowl, stir together the scalded milk, sugar, margarine and salt. In a small bowl, stir together the yeast and warm water. Let stand 10 minutes, or until foamy.; Stir the yeast mixture into the milk mixture. Blend in the eggs. Mix in the flour one cup at a time to make a soft dough. Cover bowl and let rise in a warm place until double.; Heat one inch of oil in a deep heavy skillet to 370 degrees F (180 degrees C). Form large handfuls of dough into flat pancake shapes and fry them in the hot oil, turning once, until golden brown on both sides. Remove from oil to drain on paper towels. | Home; Recipes; Breakfast and Brunch; Breakfast Bread
Puffing Crab | 12 | 3 | 4.75 | 50 m | 2 tablespoons butter; 2 tablespoons flour; 1 cup hot milk; 3 egg yolks, beaten; 1/2 cup mayonnaise (such as Hellman's®); 1 pound fresh crabmeat; salt and pepper, to taste; 1 pinch cayenne pepper; 1/4 teaspoon Old Bay® seasoning (optional); 3 egg whites, stiffly beaten; 1 dash paprika | Preheat oven to 400 degrees F (200 degrees C). Butter a 1-1/2 quart baking dish.; Melt butter in a saucepan over medium heat. Gradually whisk in flour and cook about 5 minutes (reduce heat if mixture begins to brown). Slowly whisk in the hot milk and heat until mixture reaches a low boil, stirring constantly. Remove from heat and allow to cool at least 5 minutes (otherwise eggs will cook when added to the mixture).; Stir the beaten egg yolks into the cooled sauce. Blend in the mayonnaise. Add the crabmeat and season with salt, pepper, cayenne, and Old Bay(R) seasoning if using. Gently fold in the beaten egg whites. Pour into prepared baking dish. Dust with paprika.; Bake until browned and puffy, about 20 minutes. Serve immediately. | Home; Recipes; Breakfast and Brunch; Eggs
Smoky Fried Salmon | 2 | 2 | 2.5 | 45 m | 1 (6 ounce) salmon fillet, frozen; 1 teaspoon sea salt; ground black pepper to taste; 1 dash liquid smoke flavoring; 2 tablespoons butter, divided | Thaw the salmon slightly in cold water, and remove the skin. Use a very sharp knife to slice the fillet into thin slices. Place the slices in a bowl, and sprinkle with salt and pepper. Toss with enough liquid smoke to coat the fish, and refrigerate for 30 minutes.; Heat the butter in a large skillet over medium heat. Fry the salmon slices for a few minutes turning once. Fish should flake easily with a fork when done. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Seafood
Cereal Bread | 4 | 3 | 4.75 | 2 h 45 m | 1 cup bite size frosted wheat cereal; 1 cup brown sugar; 1/2 cup shortening; 1 teaspoon salt; 1 cup boiling water; 2 (.25 ounce) packages active dry yeast; 1 cup warm water (110 degrees F/45 degrees C); 2 eggs; 6 cups bread flour | In a large bowl, combine cereal, brown sugar, shortening and salt. Pour boiling mixture over mixture. Let cool to room temperature.; In a small bowl, dissolve yeast in warm water. Let stand until creamy, about 10 minutes.; Combine cereal and yeast mixtures. Add eggs and two cups flour; mix well. Stir in the remaining flour, 1/2 cup at a time, beating well after each addition. When the dough has pulled together, turn it out onto a lightly floured surface and knead until smooth and elastic, about 8 minutes.; Lightly oil a large bowl, place the dough in the bowl and turn to coat with oil. Cover with a damp cloth and let rise in a warm place until doubled in volume, about 1 hour.; Deflate the dough and turn it out onto a lightly floured surface. Divide the dough into two equal pieces and form into loaves. Place the loaves into two lightly greased 9x5 inch loaf pans. Cover the loaves with a damp cloth and let rise until doubled in volume, about 40 minutes. Preheat oven to 350 degrees F (175 degrees C).; Bake in preheated oven until brown, about 30 minutes. Remove from pans and let cool on a wire rack. | Home; Recipes; Breakfast and Brunch; Breakfast Bread
Eggs BenaBabs | 5 | 3 | 4.5 | 1 h | 1 tablespoon olive oil; 2 tablespoons white vinegar; 1 quart water; 4 artichokes, uncooked and trimmed to the heart; 1 recipe Hollandaise Sauce; 4 eggs; 1 cup black olives, sliced; 1/2 cup chopped fresh chives | Bring olive oil, 1 tablespoon vinegar, and water to boil in a large pot. Place artichoke hearts in the mixture, and boil 30 minutes, or until tender; drain.; Prepare Hollandaise Sauce according to recipe directions.; Fill a large saucepan with 3 inches of water. Bring water to a gentle simmer, and add remaining vinegar. Carefully break eggs into simmering water, and allow to cook for 3 to 5 minutes. Yolks should still be soft in center. Remove eggs from water with a slotted spoon and set on a warm plate.; Place artichoke hearts on a serving platter. Place a poached egg on top of each artichoke heart. Cover with hollandaise sauce. Sprinkle olives on top of sauce. Sprinkle chives around platter. | Home; Recipes; Breakfast and Brunch; Eggs
